cycle,state,action,q_value
6,3,intra_route_shift,-2405.0447005644887
6,3,inter_route_shift,-2482.0194195807153
6,3,two_intra_route_swap,-2446.6932485099187
6,3,two_intra_route_shift,-2368.413410753584
6,3,eliminate_smallest_route,-2134.0451331362888
6,3,eliminate_random_route,-2453.438160797682
6,4,intra_route_swap,-2833.170328784944
6,4,inter_route_swap,-2848.535625421227
6,4,intra_route_shift,-2138.647214916341
6,4,inter_route_shift,-2246.879394983439
6,4,two_intra_route_swap,-2891.464982784284
6,4,two_intra_route_shift,-3034.7923402263327
6,4,eliminate_smallest_route,-1695.4037599495446
6,4,eliminate_random_route,-1601.0241626695208
7,1,intra_route_swap,-907.6487869736028
7,1,inter_route_swap,-1230.0578294669385
7,1,intra_route_shift,-590.423283618844
7,1,inter_route_shift,-503.76622393859105
7,1,two_intra_route_swap,-455.22744522294374
7,1,two_intra_route_shift,-440.21558652330765
7,1,eliminate_smallest_route,-600.1300522088081
7,1,eliminate_random_route,-877.7957236954038
7,2,intra_route_swap,-990.9465328063674
7,2,inter_route_swap,-1062.810565809148
7,2,intra_route_shift,-537.0954259990999
7,2,inter_route_shift,-563.8741878515098
7,2,two_intra_route_swap,-1063.9754219681329
7,2,two_intra_route_shift,-729.3663587729801
7,2,eliminate_smallest_route,-594.0722883314536
7,2,eliminate_random_route,-739.8156328793641
7,3,intra_route_swap,-3663.826465711257
7,3,inter_route_swap,-4404.533993791891
7,3,intra_route_shift,-3059.229952066237
7,3,inter_route_shift,-2722.282135552117
7,3,two_intra_route_swap,-3094.090126246729
7,3,two_intra_route_shift,-2971.047870675013
7,3,eliminate_smallest_route,-2924.253543506139
7,3,eliminate_random_route,-3137.5571485959117
7,4,intra_route_swap,-3215.4333236560956
7,4,inter_route_swap,-2825.396334877644
7,4,intra_route_shift,-2847.91787761811
7,4,inter_route_shift,-2639.2153140629075
7,4,two_intra_route_swap,-3217.185718873644
7,4,two_intra_route_shift,-2984.6837404817898
7,4,eliminate_smallest_route,-2682.0206833374527
7,4,eliminate_random_route,-2863.7038058488065
8,1,intra_route_swap,-907.6487869736028
8,1,inter_route_swap,-1230.0578294669385
8,1,intra_route_shift,-590.423283618844
8,1,inter_route_shift,-503.76622393859105
8,1,two_intra_route_swap,-677.1848500771847
8,1,two_intra_route_shift,-682.0722707677894
8,1,eliminate_smallest_route,-600.1300522088081
8,1,eliminate_random_route,-877.7957236954038
8,2,intra_route_swap,-990.9465328063674
8,2,inter_route_swap,-1231.4438430463674
8,2,intra_route_shift,-705.0754555798524
8,2,inter_route_shift,-563.8741878515098
8,2,two_intra_route_swap,-1063.9754219681329
8,2,two_intra_route_shift,-729.3663587729801
8,2,eliminate_smallest_route,-594.0722883314536
8,2,eliminate_random_route,-739.8156328793641
8,3,intra_route_swap,-3663.826465711257
8,3,inter_route_swap,-4395.20073224955
8,3,intra_route_shift,-3030.5531507094897
8,3,inter_route_shift,-2997.6535803128627
8,3,two_intra_route_swap,-3094.090126246729
